User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
1150,1,2003,12,13,15:39,$152.92,Swipe Transaction,6759623715801000040,Yorba Linda,CA,92886.0,5311,,No
1114,0,2016,12,4,10:10,$5.17,Chip Transaction,-7156085009061779132,Alpharetta,GA,30005.0,5812,,No
1356,0,2009,11,20,14:36,$18.21,Swipe Transaction,-936160417558932545,Harbor City,CA,90710.0,7542,,No
1838,2,2012,10,18,18:26,$33.65,Swipe Transaction,4751695835751691036,North Hollywood,CA,91606.0,5814,,No
1418,2,2018,4,9,22:16,$5.27,Chip Transaction,1913477460590765860,Houston,TX,77021.0,5300,,No
1572,3,2019,3,4,15:46,$25.84,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
975,3,2008,3,21,15:34,$-58.00,Swipe Transaction,1799189980464955940,Brooklyn,NY,11211.0,5499,,No
729,6,2018,3,18,08:35,$4.33,Chip Transaction,4722913068560264812,Honolulu,HI,96826.0,5411,,No
976,4,2011,11,21,09:42,$168.49,Swipe Transaction,-8582248712906849881,Lancaster,NY,14086.0,8043,,No
1271,1,2007,6,20,21:58,$95.38,Swipe Transaction,6526612875791166548,Newport,RI,2840.0,5211,,No
1021,1,2019,1,30,12:13,$6.70,Swipe Transaction,878534750241365141,Hollidaysburg,PA,16648.0,5812,,No
777,1,2008,3,9,11:08,$-55.00,Swipe Transaction,2027553650310142703,San Francisco,CA,94131.0,5541,,No
976,1,2003,1,27,13:27,$32.06,Online Transaction,-6160036380778658394, ONLINE,,,4121,,No
928,2,2010,9,6,20:41,$57.14,Swipe Transaction,-6841547355298111900,Chesterfield,VA,23832.0,5812,,No
1425,3,2008,5,10,19:37,$46.92,Swipe Transaction,-2744911404133435018,Camillus,NY,13031.0,5812,,No
19,4,2013,10,24,16:21,$13.53,Swipe Transaction,-9083761928150452309,Tucson,AZ,85711.0,5921,,No
1592,0,2014,8,28,05:22,$67.05,Swipe Transaction,-8866660863724012548,Simpsonville,SC,29680.0,5300,,No
424,0,2018,2,20,20:34,$44.41,Swipe Transaction,-1828885217332015017,Seattle,WA,98122.0,5812,,No
1307,3,2011,12,8,13:37,$77.36,Swipe Transaction,-5162038175624867091,Murphys,CA,95247.0,5541,,No
831,1,1997,5,29,14:30,$11.25,Swipe Transaction,97032797689821735,Long Valley,NJ,7853.0,5411,,No
396,1,2002,10,20,10:49,$-94.00,Swipe Transaction,2027553650310142703,Nashport,OH,43830.0,5541,,No
336,1,2014,8,22,11:40,$2.38,Swipe Transaction,112925206871091074,Fort Wayne,IN,46808.0,5541,,No
1722,3,2007,6,1,09:48,$6.91,Swipe Transaction,4722913068560264812,Miami,FL,33134.0,5411,"Bad PIN,",No
1221,1,2009,8,18,20:49,$70.00,Swipe Transaction,-6353360362773118817,Hurst,TX,76054.0,5411,,No
514,2,2020,1,13,07:34,$1.08,Chip Transaction,6666504894937430109,Franklin,NC,28734.0,5499,,No
1919,0,2019,8,28,00:18,$7.99,Chip Transaction,-2448992861105297080,Los Angeles,CA,90007.0,5813,,No
359,0,2014,11,30,19:37,$40.23,Swipe Transaction,4722913068560264812,Churubusco,IN,46723.0,5411,,No
1953,0,2017,12,15,10:57,$28.61,Chip Transaction,-4120832748122153343,Meeker,OK,74855.0,5300,,No
881,0,2016,11,22,07:16,$113.22,Chip Transaction,2401065857701751511,Walnut Creek,CA,94598.0,5211,,No
972,3,2010,1,20,16:32,$51.00,Swipe Transaction,1799189980464955940,Plano,TX,75023.0,5499,,No
197,0,2018,12,11,12:19,$87.00,Chip Transaction,2027553650310142703,Grand Prairie,TX,75052.0,5541,,No
313,0,2011,2,8,07:04,$4.24,Swipe Transaction,8878665205966093747,Fort Lauderdale,FL,33314.0,5411,,No
68,0,2015,1,9,12:38,$79.22,Chip Transaction,6698459923198770712,Mount Vernon,OH,43050.0,4814,"Insufficient Balance,",No
986,3,2003,2,11,13:23,$5.19,Swipe Transaction,-1046622217034093949,Asheville,NC,28801.0,5812,,No
1708,1,2008,12,15,11:17,$80.19,Swipe Transaction,2027553650310142703,Old Saybrook,CT,6475.0,5541,,No
1823,1,2009,8,10,10:02,$50.47,Swipe Transaction,-245178307025547046,Portsmouth,NH,3801.0,5311,,No
486,3,2020,1,13,18:35,$60.00,Swipe Transaction,-4282466774399734331,San Jose,CA,95111.0,4829,,No
1133,0,2013,10,20,10:22,$9.59,Swipe Transaction,3155069015839214947,Edinburgh,IN,46124.0,5411,,No
485,0,2009,2,6,08:29,$31.23,Swipe Transaction,-1288082279022882052,Birmingham,AL,35214.0,5499,,No
1272,1,2017,4,26,19:21,$32.46,Online Transaction,-6458444334611773637, ONLINE,,,4784,,No
897,0,1994,9,4,13:17,$60.00,Swipe Transaction,-4282466774399734331,Woonsocket,SD,57385.0,4829,,No
220,2,2018,10,2,16:39,$31.28,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
533,1,2010,10,1,08:57,$21.66,Swipe Transaction,-3345936507911876459,Edenton,NC,27932.0,7538,,No
220,2,2013,7,25,17:16,$2.66,Online Transaction,-6160036380778658394, ONLINE,,,4121,,No
841,0,2018,9,12,11:29,$16.70,Chip Transaction,97032797689821735,Hollywood,FL,33020.0,5411,,No
531,2,2003,8,21,06:51,$18.67,Swipe Transaction,983841409440111154,Levittown,PA,19054.0,7230,,No
205,3,2011,2,19,09:40,$13.61,Swipe Transaction,-4752064311331295725,Lake Grove,NY,11755.0,4214,,No
101,0,2004,2,20,09:40,$36.85,Swipe Transaction,97032797689821735,Waldorf,MD,20603.0,5411,,No
1196,3,2002,4,16,06:20,$60.00,Swipe Transaction,-4282466774399734331,Sarver,PA,16055.0,4829,,No
692,1,2014,5,21,03:11,$119.67,Swipe Transaction,8919682822789039434,Williston Park,NY,11596.0,5814,,No
1673,1,2014,11,11,08:15,$1.12,Swipe Transaction,7180512131852509128,Tampa,FL,33617.0,5411,,No
1895,0,2019,12,25,11:12,$79.02,Chip Transaction,1799189980464955940,Marion,IA,52302.0,5499,,No
1395,0,2012,12,26,16:04,$141.89,Swipe Transaction,-5162038175624867091,Tacoma,WA,98403.0,5541,,No
1101,2,2011,12,7,14:08,$75.00,Swipe Transaction,2027553650310142703,Vacaville,CA,95687.0,5541,,No
806,0,2003,12,4,16:19,$70.84,Swipe Transaction,9057735476014445185,Jacksonville,FL,32219.0,5311,,No
576,2,2016,5,24,05:39,$25.53,Chip Transaction,-5467922351692495955,Union City,CA,94587.0,5912,,No
850,1,2019,9,2,19:47,$43.06,Chip Transaction,-2572452519148934194,New York,NY,10039.0,5812,,No
331,4,2013,5,27,16:15,$164.81,Swipe Transaction,-5162038175624867091,Plantersville,TX,77363.0,5541,,No
396,1,2010,1,30,18:49,$38.12,Swipe Transaction,8213093693909380528,Nashport,OH,43830.0,5211,,No
931,2,2015,12,18,13:18,$97.57,Chip Transaction,-245178307025547046,Nashville,TN,37204.0,5311,,No
682,0,2013,7,4,21:43,$-81.00,Swipe Transaction,4081535247279879452,Topsfield,MA,1983.0,5541,,No
1921,2,2013,3,20,08:28,$61.88,Online Transaction,4241336128694185533, ONLINE,,,4814,,No
1430,1,2008,8,14,13:16,$79.00,Swipe Transaction,2027553650310142703,La Grange,IL,60525.0,5541,,No
1588,4,2005,12,30,02:01,$2.08,Swipe Transaction,97032797689821735,Dallas,TX,75227.0,5411,,No
1813,0,2013,7,29,06:01,$65.23,Swipe Transaction,2027553650310142703,Scottsdale,AZ,85260.0,5541,,No
918,2,2011,9,29,17:43,$37.84,Swipe Transaction,-2828612428004710524,Lucama,NC,27851.0,5193,,No
1327,7,2015,12,13,17:32,$39.01,Chip Transaction,4751695835751691036,Tucson,AZ,85711.0,5814,,No
1419,1,2010,4,25,20:55,$23.27,Swipe Transaction,8246766035801644716,Parsippany,NJ,7054.0,5812,,No
1238,0,2016,7,13,20:23,$-264.00,Chip Transaction,-1612219785829480227,Wausau,WI,54403.0,3387,,No
414,3,2018,4,13,06:34,$-70.00,Chip Transaction,2027553650310142703,Sarasota,FL,34232.0,5541,,No
1710,0,2004,6,10,02:35,$49.13,Swipe Transaction,-5475680618560174533,Ripley,TN,38063.0,5942,,No
1096,1,2000,11,26,09:18,$35.64,Swipe Transaction,7145736684866660022,Lebanon,OR,97355.0,5251,,No
3,3,2015,11,4,13:11,$49.63,Chip Transaction,7522433618679272954,New York,NY,10072.0,5411,,No
797,0,2010,2,26,14:48,$14.35,Swipe Transaction,-4606064180761272179,Winder,GA,30680.0,5300,,No
1067,0,2019,12,16,15:58,$-74.00,Chip Transaction,1799189980464955940,Pacoima,CA,91331.0,5499,,No
1030,0,2015,11,4,20:36,$84.67,Chip Transaction,-3693650930986299431,Rio Rancho,NM,87144.0,4814,,No
1885,3,2014,1,28,08:27,$86.14,Swipe Transaction,-192092527301750622,Pottsboro,TX,75076.0,5411,,No
1101,4,2016,8,17,07:55,$21.47,Online Transaction,-6160036380778658394, ONLINE,,,4121,,No
1282,0,2015,9,21,16:45,$19.17,Chip Transaction,-8101850423783531173,Rapid City,SD,57703.0,7542,,No
1766,4,2009,2,11,12:24,$4.93,Swipe Transaction,97032797689821735,Union City,NJ,7087.0,5411,,No
706,0,2019,11,2,06:20,$3.80,Chip Transaction,4722913068560264812,Cleveland,OH,44143.0,5411,,No
491,2,2018,4,24,08:55,$12.40,Chip Transaction,-3438146584505839078,Latrobe,PA,15650.0,5921,,No
1258,1,2008,7,10,09:08,$32.47,Swipe Transaction,-3220758452254689706,Fresno,CA,93725.0,5311,,No
725,0,2016,4,25,06:20,$3.46,Chip Transaction,-2748059428574737644,Fullerton,CA,92831.0,5812,,No
1594,1,2007,2,15,11:42,$80.90,Swipe Transaction,-8405285785047681224,Hartselle,AL,35640.0,5651,,No
1318,2,2015,1,2,03:58,$58.31,Chip Transaction,3635551857898739641,Brooklyn,NY,11232.0,5310,,No
259,2,2008,4,18,11:19,$5.22,Swipe Transaction,7785916505129958815,Fort Knox,KY,40121.0,5813,,No
1820,0,2013,10,14,11:24,$15.34,Swipe Transaction,97032797689821735,San Antonio,TX,78212.0,5411,,No
956,0,2016,4,12,06:48,$80.00,Swipe Transaction,-1288082279022882052,Sacramento,CA,95821.0,5499,,No
92,0,2011,12,3,05:21,$35.79,Swipe Transaction,-7661312600808994004,Panama City,FL,32401.0,5411,,No
1692,0,2007,5,30,09:40,$2.60,Swipe Transaction,97032797689821735,Garden Grove,CA,92844.0,5411,,No
1287,1,2008,1,9,17:37,$120.00,Swipe Transaction,-4282466774399734331,Memphis,TN,38116.0,4829,,No
1868,1,2013,1,29,19:35,$58.90,Swipe Transaction,-5407138151142847632,Dallas,TX,75208.0,5812,,No
1173,0,2015,9,6,21:37,$69.27,Chip Transaction,6181510752141427450,Panama City,FL,32405.0,7538,"Bad PIN,",No
1682,3,2018,6,14,11:50,$49.57,Chip Transaction,-5475680618560174533,Waterford,MI,48329.0,5942,,No
1130,1,2014,6,6,01:01,$40.00,Swipe Transaction,-4282466774399734331,Vista,CA,92084.0,4829,,No
540,0,2006,5,21,09:41,$66.20,Swipe Transaction,-692568456664478033,Worcester,MA,1602.0,7538,,No
918,1,2006,3,17,13:19,$14.09,Swipe Transaction,7801068721920031846,Lucama,NC,27851.0,5921,,No
135,0,2015,2,25,20:54,$31.24,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
1903,1,2001,9,14,13:59,$1.90,Swipe Transaction,-6571010470072147219,Richmond,CA,94804.0,5499,,No
1560,0,2012,8,2,14:49,$28.31,Online Transaction,-6458444334611773637, ONLINE,,,4784,,No
1273,0,2012,12,21,22:51,$33.34,Swipe Transaction,6832445792282254294,Lakeside,CA,92040.0,5813,,No
456,1,2003,8,20,18:45,$23.21,Swipe Transaction,7723807703904597792,Turlock,CA,95382.0,5812,,No
1725,1,2019,10,12,12:36,$8.78,Swipe Transaction,-4927381308738947637,Wichita,KS,67212.0,5812,,No
1645,3,2012,10,24,16:41,$1.01,Swipe Transaction,-6571010470072147219,Kerhonkson,NY,12446.0,5499,,No
258,0,2014,7,28,17:15,$25.58,Swipe Transaction,-5075841031575509517,Hinsdale,NH,3451.0,5813,,No
52,2,2018,7,31,12:44,$36.32,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
599,2,2006,1,12,12:55,$19.95,Swipe Transaction,4751695835751691036,Chicago,IL,60622.0,5814,,No
1691,0,2019,6,27,16:06,$37.80,Swipe Transaction,2985252742283914005,Bronx,NY,10463.0,4121,,No
341,1,2011,4,20,07:17,$50.63,Swipe Transaction,-85070450838390220,Dallas,TX,75253.0,5541,,No
901,1,2004,9,30,11:01,$92.76,Swipe Transaction,-5728450213013770734,Somerset,CA,95684.0,8011,,No
190,0,2005,8,9,17:29,$45.48,Swipe Transaction,-794809796539996541,Lyndonville,VT,5851.0,5814,,No
1099,3,2005,9,20,10:36,$90.37,Swipe Transaction,1913477460590765860,Lake Havasu City,AZ,86404.0,5300,,No
290,0,2011,11,1,15:44,$127.12,Swipe Transaction,-791399543185433667,Battle Creek,MI,49015.0,5912,,No
606,2,2013,10,4,20:33,$67.80,Swipe Transaction,-5374183214046615007,Township Of Washington,NJ,7676.0,5211,,No
849,3,2015,5,7,09:05,$4.34,Chip Transaction,-8292355561787670594,Orange,CA,92866.0,5411,,No
1974,1,2011,3,30,10:24,$125.80,Swipe Transaction,5817218446178736267,Hebbronville,TX,78361.0,5912,,No
1133,1,2010,9,15,00:49,$15.70,Online Transaction,6455213054093379528, ONLINE,,,5815,,No
994,0,2018,2,24,06:26,$65.49,Chip Transaction,2111148184566434231,Caldwell,OH,43724.0,5411,,No
1178,1,1995,1,29,09:02,$36.10,Swipe Transaction,-5475680618560174533,Cuyahoga Falls,OH,44221.0,5942,,No
1785,1,2012,1,18,14:19,$12.69,Swipe Transaction,-4752064311331295725,Lowell,MA,1851.0,4214,,No
370,1,2013,11,4,16:47,$27.72,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
1317,1,2008,10,10,01:07,$70.64,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
1006,1,2007,5,13,19:32,$62.15,Swipe Transaction,-5318096056878243399,Pawling,NY,12564.0,5812,,No
1764,0,2007,12,30,13:10,$2.72,Online Transaction,-2042049018365856408, ONLINE,,,5815,,No
765,2,2011,6,4,18:33,$68.04,Swipe Transaction,1913477460590765860,Humble,TX,77338.0,5300,,No
994,1,2018,10,15,00:26,$35.41,Chip Transaction,2349466917071401450,Caldwell,OH,43724.0,5812,,No
1419,2,2012,1,16,20:31,$16.52,Swipe Transaction,-2744911404133435018,Passaic,NJ,7055.0,5812,,No
417,3,2000,10,22,11:59,$8.62,Swipe Transaction,-245178307025547046,Panama City,FL,32408.0,5311,,No
1037,1,2016,12,18,07:42,$78.18,Swipe Transaction,-3220758452254689706,Spencer,WI,54479.0,5311,,No
74,2,2003,5,19,22:04,$58.67,Swipe Transaction,3043415681375770481,Rockwall,TX,75032.0,5812,,No
1261,0,2000,3,20,01:35,$49.34,Swipe Transaction,7116494914944095295,Indianapolis,IN,46256.0,4121,,No
990,3,2015,5,19,08:36,$4.53,Chip Transaction,-1288082279022882052,Horse Shoe,NC,28742.0,5499,,No
414,0,2009,7,29,17:30,$0.99,Swipe Transaction,-6571010470072147219,Sarasota,FL,34235.0,5499,,No
748,1,2015,10,30,18:38,$-136.00,Chip Transaction,-6380232772327219248,Poolesville,MD,20837.0,3393,,No
1535,1,2013,4,21,08:46,$28.93,Swipe Transaction,-5162038175624867091,Leitchfield,KY,42754.0,5541,,No
1645,3,2017,11,12,11:06,$1.03,Swipe Transaction,-6571010470072147219,Kerhonkson,NY,12446.0,5499,,No
385,4,2012,2,6,06:08,$100.00,Swipe Transaction,-4282466774399734331,Billings,OK,74630.0,4829,,No
55,2,2005,1,13,18:42,$56.72,Swipe Transaction,-5741901785024848975,Rego Park,NY,11374.0,5812,,No
960,0,2018,1,27,14:12,$44.64,Online Transaction,-6458444334611773637, ONLINE,,,4784,,No
1019,1,2013,5,18,08:48,$19.56,Swipe Transaction,3397452747792109772,Tulsa,OK,74137.0,5541,,No
177,0,2007,3,20,12:35,$-356.00,Swipe Transaction,5237739159769445856,Las Vegas,NV,89148.0,3775,,No
1044,0,2017,11,24,06:08,$2.44,Chip Transaction,3592810124131220581,Ashville,AL,35953.0,5812,,No
438,2,2017,3,13,06:26,$2.95,Chip Transaction,583572068092839480,Los Angeles,CA,90037.0,5411,,No
1338,1,2006,10,7,06:13,$38.22,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
654,0,2012,11,16,10:21,$18.09,Swipe Transaction,-551875916995024511,Sammamish,WA,98075.0,5411,,No
1039,3,2014,9,16,15:21,$14.29,Swipe Transaction,3064275979308244743,Atlanta,GA,30342.0,5411,,No
837,0,2011,10,18,09:57,$118.58,Swipe Transaction,2194070705311634910,Columbus,OH,43206.0,5411,,No
249,0,2008,11,29,19:20,$39.26,Swipe Transaction,5230065606834573595,Oklahoma City,OK,73151.0,4121,,No
304,3,2004,4,27,20:41,$22.04,Swipe Transaction,1913477460590765860,Hensley,AR,72065.0,5300,,No
486,4,2013,10,24,06:48,$80.00,Swipe Transaction,-4282466774399734331,San Jose,CA,95111.0,4829,,No
1825,1,2011,10,27,10:06,$2.37,Swipe Transaction,-430543151803131490,Annandale,VA,22003.0,5411,,No
44,1,2007,5,4,13:48,$200.50,Online Transaction,6654290286221782850, ONLINE,,,4899,,No
1281,0,2014,5,2,05:59,$25.47,Online Transaction,-5841929396161652653, ONLINE,,,4121,,No
1010,2,2008,3,2,09:15,$9.89,Swipe Transaction,3627298687072119024,Boxford,MA,1921.0,5411,,No
514,0,2015,3,7,16:33,$118.39,Chip Transaction,-6914718472859161638,Fletcher,NC,28732.0,4900,,No
1057,1,2019,4,2,18:00,$4.49,Online Transaction,7035602569409149834, ONLINE,,,5311,,No
1777,3,2019,4,13,01:10,$20.69,Online Transaction,-5841929396161652653, ONLINE,,,4121,,No
107,1,2019,2,4,15:22,$53.00,Chip Transaction,1799189980464955940,Chicago,IL,60616.0,5499,,No
319,1,2009,3,17,02:58,$12.82,Swipe Transaction,97032797689821735,San Francisco,CA,94134.0,5411,,No
1673,1,1999,12,29,11:36,$20.97,Swipe Transaction,3635551857898739641,Tampa,FL,33617.0,5310,,No
262,1,2006,3,27,15:09,$52.00,Swipe Transaction,1799189980464955940,Olympia,WA,98516.0,5499,,No
525,0,2013,2,19,08:19,$36.20,Online Transaction,31551052261259716, ONLINE,,,4784,,No
545,2,2004,11,23,23:23,$29.63,Online Transaction,31551052261259716, ONLINE,,,4784,,No
605,0,2017,9,9,15:15,$84.00,Chip Transaction,-1288082279022882052,Broad Run,VA,20137.0,5499,,No
988,2,2006,3,3,07:49,$3.40,Swipe Transaction,-4500542936415012428,Corona Del Mar,CA,92625.0,5814,,No
1402,2,2012,10,21,13:02,$35.22,Online Transaction,337495195680863518, ONLINE,,,7801,,No
1727,1,2010,7,31,07:20,$60.00,Swipe Transaction,-4282466774399734331,Benson,NC,27504.0,4829,,No
588,1,2017,4,18,14:55,$102.08,Chip Transaction,-8405285785047681224,Nampa,ID,83686.0,5651,,No
254,1,2011,2,18,15:12,$71.99,Online Transaction,-1688244360627004732, ONLINE,,,4784,,No
398,2,2014,3,4,16:59,$-89.00,Swipe Transaction,2027553650310142703,Compton,CA,90222.0,5541,,No
906,0,2004,11,21,10:29,$27.86,Online Transaction,31551052261259716, ONLINE,,,4784,,No
1593,0,2014,11,19,09:50,$151.81,Swipe Transaction,7522433618679272954,Pascoag,RI,2859.0,5411,,No
684,1,2018,9,4,15:56,$258.02,Chip Transaction,5556493396477202569,Ridgewood,NY,11385.0,8049,,No
672,2,2017,12,21,17:01,$78.94,Chip Transaction,969539244598959907,Greenville,SC,29611.0,5712,,No
1218,2,2016,2,13,00:59,$280.27,Online Transaction,333722291367506728, ONLINE,,,4722,"Bad Expiration,",No
1352,4,2013,4,30,17:05,$42.21,Swipe Transaction,-4405963029101957776,Wilmore,KY,40390.0,5812,,No
1439,0,2013,5,4,17:32,$31.62,Swipe Transaction,5763106017265139365,Lonoke,AR,72086.0,5310,,No
414,0,2008,1,23,18:21,$0.79,Swipe Transaction,-6571010470072147219,Sarasota,FL,34235.0,5499,,No
1428,3,2011,7,16,06:32,$47.12,Swipe Transaction,1913477460590765860,Brighton,CO,80601.0,5300,,No
1680,0,2018,11,20,09:35,$37.15,Chip Transaction,-1405192914087887148,Charleston,SC,29403.0,7538,,No
1608,0,2006,4,2,11:45,$34.79,Swipe Transaction,4989409516453337564,Prairie Village,KS,66208.0,5300,,No
1073,1,2010,6,16,17:43,$19.01,Swipe Transaction,-85761049882730106,Kernersville,NC,27284.0,4121,,No
66,0,2015,5,27,07:28,$38.58,Online Transaction,-1688244360627004732, ONLINE,,,4784,,No
282,0,2009,8,7,15:26,$14.98,Swipe Transaction,7440817727668375479,San Jose,CA,95121.0,5812,,No
92,0,2015,11,7,02:10,$4.01,Swipe Transaction,-7661312600808994004,Panama City,FL,32401.0,5411,,No
1659,3,2007,1,13,11:53,$17.63,Swipe Transaction,-4752064311331295725,Minneapolis,MN,55432.0,4214,,No
1285,0,2016,10,22,17:16,$27.39,Chip Transaction,9057735476014445185,Naples,FL,34109.0,5311,,No
1374,0,2012,11,14,09:51,$161.01,Swipe Transaction,6965004841064819014,Phoenix,AZ,85083.0,4900,,No
1052,1,2016,12,30,17:16,$16.89,Swipe Transaction,3448258031893298635,Yreka,CA,96097.0,5812,,No
990,3,2004,10,30,19:25,$59.77,Swipe Transaction,-4051610135453927412,Leicester,NC,28748.0,5541,,No
1927,1,2011,12,30,06:27,$4.13,Swipe Transaction,-757465001064617982,Palm Bay,FL,32905.0,5411,,No
1126,3,2010,4,30,13:18,$43.47,Swipe Transaction,6589989539929358481,Gwynn Oak,MD,21207.0,7230,,No
1584,3,2010,4,5,11:46,$6.12,Swipe Transaction,2027553650310142703,Albany,NY,12207.0,5541,,No
1400,1,2008,7,12,10:34,$14.15,Swipe Transaction,-727612092139916043,Eastlake,OH,44095.0,5411,,No
614,3,2012,7,7,15:19,$48.51,Online Transaction,-2088492411650162548, ONLINE,,,4784,,No
508,0,2017,11,28,14:03,$52.91,Chip Transaction,1913477460590765860,Saint Charles,MO,63304.0,5300,,No
207,2,2003,12,4,19:21,$79.60,Swipe Transaction,1913477460590765860,Asheville,NC,28803.0,5300,,No
1785,1,2017,9,24,12:07,$104.43,Chip Transaction,3671044173513500212,North Andover,MA,1845.0,7230,,No
322,1,2012,10,1,13:14,$17.82,Swipe Transaction,-4530600671233798827,Lutz,FL,33558.0,5812,,No
517,0,2018,9,4,12:46,$30.59,Chip Transaction,1799189980464955940,Columbia,SC,29229.0,5499,,No
1773,1,2004,6,2,12:25,$59.53,Swipe Transaction,-3345936507911876459,Saint Peters,MO,63376.0,7538,,No
167,0,2012,3,11,14:17,$22.30,Swipe Transaction,-2750184350671986882,Hong Kong,Hong Kong,,5921,,No
1401,0,2009,5,7,12:27,$2.17,Swipe Transaction,-6571010470072147219,Clovis,NM,88101.0,5499,,No
112,2,2018,10,14,12:35,$67.10,Chip Transaction,-8254405722253003769,Georgetown,TX,78633.0,5499,,No
370,0,2018,2,1,22:08,$72.35,Swipe Transaction,-2215262487456981438,Huntington,NY,11743.0,5813,,No
414,2,2013,6,19,09:37,$30.80,Online Transaction,-5841929396161652653, ONLINE,,,4121,,No
1747,3,2019,3,13,11:46,$19.74,Chip Transaction,1735066207515692831,Danville,NH,3819.0,7210,,No
249,0,2013,11,9,10:46,$23.93,Swipe Transaction,-5467922351692495955,Oklahoma City,OK,73159.0,5912,,No
283,2,2006,10,16,12:36,$17.37,Swipe Transaction,7069584154815291371,Pompano Beach,FL,33076.0,5812,,No
1098,0,2015,9,27,16:06,$-95.00,Chip Transaction,1799189980464955940,Manteca,CA,95337.0,5499,,No
1686,5,2006,5,1,20:44,$2.86,Swipe Transaction,-3893440028670968690,Brooklyn,NY,11215.0,5921,,No
223,5,2006,4,16,09:14,$3.22,Swipe Transaction,-5475680618560174533,Orient,OH,43146.0,5942,,No
1275,2,2016,6,19,07:32,$100.00,Chip Transaction,-4282466774399734331,Edison,NJ,8820.0,4829,,No
684,1,2019,6,20,14:30,$44.82,Chip Transaction,2027553650310142703,Ridgewood,NY,11385.0,5541,,No
1298,2,2015,7,26,16:03,$13.47,Swipe Transaction,-5997461737478757982,Pensacola,FL,32504.0,4121,,No
1520,4,2005,6,29,15:33,$66.45,Swipe Transaction,-3345936507911876459,Norwalk,CT,6854.0,7538,,No
1593,1,2008,8,14,14:32,$22.38,Online Transaction,-5841929396161652653, ONLINE,,,4121,,No
240,1,2010,8,24,12:47,$10.22,Swipe Transaction,-1224192350757448956,Sherman Oaks,CA,91403.0,5411,,No
1085,2,2001,12,17,13:30,$10.26,Swipe Transaction,8776595459543733424,Johnstown,OH,43031.0,5812,,No
486,0,2013,8,24,14:19,$-88.00,Swipe Transaction,2027553650310142703,Watsonville,CA,95076.0,5541,,No
1616,0,2019,12,18,08:22,$4.87,Chip Transaction,1799189980464955940,Halifax,PA,17032.0,5499,,No
